id,mouse-CD4-R1.hisat,mouse-CD4-R3.hisat,mouse-CD4-R5.hisat,mouse-CD4-R7.hisat,mouse-CD4-R9.hisat,mouse-CbirDN-R10.hisat,mouse-CbirDN-R2.hisat,mouse-CbirDN-R4.hisat,mouse-CbirDN-R6.hisat,mouse-CbirDN-R8.hisat,mouse-DN-R1.hisat,mouse-DN-R3.hisat,mouse-DN-R5.hisat,mouse-DN-R7.hisat,mouse-DN-R9.hisat,mouse-MAIT-R1.hisat,mouse-MAIT-R3.hisat,mouse-MAIT-R5.hisat,mouse-MAIT-R7.hisat,mouse-MAIT-R9.hisat,mouse-NKT-R1.hisat,mouse-NKT-R3.hisat,mouse-NKT-R5.hisat,mouse-NKT-R7.hisat,mouse-NKT-R9.hisat
ENSMUSG00000000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3221,0,0,0,0,0,0,0,0,0
ENSMUSG00000000154,0,0,0,0,0,0,0,0,0,0,0,0,0,1891,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000159,0,0,0,0,0,0,0,0,980,0,1000,1421,0,764,0,0,1,0,0,0,294,0,0,1247,0
ENSMUSG00000000167,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000168,0,1012,0,0,451,1332,971,0,842,0,0,0,0,420,158,1027,0,0,1,1808,163,0,974,2649,214
ENSMUSG00000000171,8004,3664,1731,4579,2491,4028,4428,270,4192,4381,959,3713,345,3052,0,2705,5073,5466,4861,4939,3674,168,1142,3438,2018
ENSMUSG00000000182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,8715,19348,13628,156,4103,10968,14587,8021,26565,16592,6109,24171,12699,12494,1460,26243,8638,21291,13019,17978,17877,21430,19211,22877,6904
ENSMUSG00000000194,4,0,0,1191,3190,0,1043,0,3739,1427,0,0,0,1470,345,1470,2003,3487,0,0,1793,0,1543,1259,1317
ENSMUSG00000000197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000204,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000244,9130,0,4141,8781,6473,0,2157,1460,7389,2154,3534,2528,0,822,1652,0,0,0,0,0,3703,2538,10174,0,10113
ENSMUSG00000000247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000253,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,0,1,0,0,0,0,0,0,0,0,4198
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000275,3070,2358,3673,1703,0,0,246,931,0,1672,342,0,0,1102,0,0,0,4972,0,0,0,0,0,0,0
ENSMUSG00000000276,0,1861,0,2448,0,841,6,0,1037,1452,1516,4248,23,0,0,267,5,0,0,2366,180,3899,168,0,0
ENSMUSG00000000278,6,0,0,0,0,3349,1990,975,0,2447,1515,1177,2035,0,3580,1055,3960,0,5228,4740,2410,0,1702,3033,1369
ENSMUSG00000000282,182,0,0,229,0,0,1,0,1,1130,1,0,596,717,0,2,0,0,0,2813,0,7,515,125,0
ENSMUSG00000000290,28334,26404,28206,17279,30731,22362,16998,29169,27515,24189,3902,23105,12554,22091,14927,14216,44066,26926,115,14919,20635,35959,28379,33726,4334
ENSMUSG00000000295,0,0,0,1819,0,2370,607,434,0,12,568,555,0,559,0,0,0,2300,0,0,1144,0,0,0,0
ENSMUSG00000000296,0,0,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000301,0,0,0,0,0,0,0,0,0,1,0,1910,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000000303,544,0,0,0,3,0,0,0,0,0,0,0,0,9458,0,0,0,0,0,0,0,0,0,0,3778
ENSMUSG00000000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ENSMUSG00000000308,2772,0,3655,0,0,0,0,0,0,0,0,0,0,68037,0,0,0,0,0,0,1071,0,2224,0,0
ENSMUSG00000000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000325,0,0,0,0,0,0,0,0,0,286,4121,0,0,0,0,0,0,0,0,0,4905,0,0,13037,0
ENSMUSG00000000326,2938,0,0,0,3797,1964,40,3834,5565,2299,1806,2642,4222,2132,21,8721,4557,0,7292,0,3902,0,6132,0,0
ENSMUSG00000000339,0,0,2703,0,3511,2391,0,0,0,191,0,0,573,0,620,0,930,0,0,0,211,0,341,0,1336
ENSMUSG00000000340,86,0,0,0,0,0,0,0,1151,17,0,109,0,0,0,0,0,0,0,0,0,80,0,0,0
ENSMUSG00000000346,12363,10715,16819,11978,10095,10558,9667,8303,8171,7888,6019,14209,5711,14767,5620,13222,8255,20082,10443,640,11002,10247,8846,15116,8729
ENSMUSG00000000355,46,237,225,0,283,8,89,33,70,111,165,43,357,35,35,43,147,0,445,288,181,0,70,239,144
ENSMUSG00000000359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000365,0,0,0,0,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000374,2076,0,3690,0,0,40,789,0,0,0,0,0,1752,0,0,1190,0,1836,0,0,1898,0,727,0,0
ENSMUSG00000000378,17042,9688,12949,5222,12313,9757,0,6729,3292,12,9431,4573,4727,3219,0,0,2,10811,9740,10,0,0,0,7152,71
ENSMUSG00000000381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,0,3866,3880,13,0,7750,763,3312,7360,1,10586,17,3910,0,1749,3469,1,0,0,0,4379,12,210,0,5432
ENSMUSG00000000385,0,2488,5872,0,0,0,0,0,0,0,0,0,0,15452,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,2248,333,1505,2040,0,4003,796,0,1187,675,0,896,2216,121,2025,4396,1154,891,6924,2597,590,575,1212,0,8357
ENSMUSG00000000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000409,41650,40097,52585,39740,57512,23071,36707,12029,46832,34083,33392,35073,19301,24534,19106,23459,43199,18776,36571,45626,31752,28464,25202,66672,34999
ENSMUSG00000000411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000420,37,0,1226,0,0,186,314,0,56,703,361,0,42,0,36,515,852,0,2470,0,331,847,240,0,0
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,0,0,0,0,0,0,1388,0,0,0,13,106,936,0,0,2,0,4392,0,0,0,1924,491,0,0
ENSMUSG00000000440,0,0,0,0,0,0,0,506,947,963,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000441,0,574,1556,1138,1680,3598,4803,1560,1661,1701,3902,2307,910,1814,0,507,2787,3054,0,7502,1198,4042,2190,5243,2728
ENSMUSG00000000486,10071,11793,8843,9792,10142,5691,5679,8464,6826,6592,12316,9046,7160,6181,5890,10660,13308,14251,3204,5360,9597,13779,10360,10843,7913
ENSMUSG00000000489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758,0,0,0,4024,0,0,0,0,0,0
ENSMUSG00000000530,0,0,0,0,0,0,0,0,5836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000531,0,842,0,0,2828,272,0,1,0,0,0,0,0,0,0,0,371,0,2986,0,5,0,0,0,0
ENSMUSG00000000532,0,0,0,0,0,0,179,0,932,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,939
ENSMUSG00000000538,0,0,0,0,0,0,0,0,0,535,0,0,0,772,0,0,0,0,0,0,1593,0,0,0,0
ENSMUSG00000000544,334,0,0,0,0,0,0,0,0,0,0,0,0,2402,527,0,0,0,0,0,0,0,0,0,232
ENSMUSG00000000552,0,0,0,0,0,0,0,0,0,0,0,0,104,0,16,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,2542,0,0,0,0,806,0,0,0
ENSMUSG00000000560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000561,0,466,0,0,0,0,245,0,0,0,0,0,0,0,0,232,0,0,0,0,9,0,727,0,0
ENSMUSG00000000562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000563,2268,2441,2914,3136,2875,3329,2095,2426,2319,2401,1131,264,1185,2473,1661,1512,3427,532,3677,1055,978,2029,601,590,1453
ENSMUSG00000000567,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,54,1551
ENSMUSG00000000568,7,26,0,290,0,0,0,66,0,260,80,0,0,20,110,0,122,458,0,0,9,1,208,0,0
ENSMUSG00000000579,26,153,48,0,3,9,0,17,58,262,449,53,22,0,23,15,21,49,250,56,100,0,15,131,23
ENSMUSG00000000581,52,0,1,226,0,140,311,270,0,0,79,73,0,390,0,0,242,317,0,0,0,0,271,0,0
ENSMUSG00000000594,6274,7860,18403,3548,13950,11495,15114,12650,29112,20651,11305,5716,8048,5107,5563,6917,11173,15718,19101,7072,7496,13682,6516,15324,3672
ENSMUSG00000000600,313,4,17,0,0,0,1,0,462,227,258,130,738,0,134,0,0,0,0,0,0,992,0,192,0
ENSMUSG00000000605,1394,0,139,1220,74,2098,6,98,129,4103,1998,266,3880,1408,943,1540,19,0,0,0,76,2204,5750,7246,0
ENSMUSG00000000606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000627,0,0,0,0,0,613,1480,3403,0,44,0,0,0,0,0,0,0,0,0,195,0,2597,0,0,1802
ENSMUSG00000000628,61,108,0,0,74,13653,12888,4872,12870,3724,1198,8971,1777,7433,2648,7317,7936,6217,698,1604,3134,4167,5667,8979,12920
ENSMUSG00000000631,0,0,0,0,13656,3091,0,0,3698,0,0,1972,0,2207,430,0,2302,0,0,4390,0,0,0,0,0
ENSMUSG00000000632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0
ENSMUSG00000000682,6337,6712,11776,11884,20667,12352,14870,11635,10473,8372,9559,9578,9660,8887,8676,12793,14432,12265,12159,14795,9410,10177,12303,11762,12507
ENSMUSG00000000686,0,2232,0,0,0,0,867,657,2014,0,0,36,0,4,0,0,0,0,0,0,1004,0,1992,3902,0
ENSMUSG00000000690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000000693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000708,47,0,0,0,2513,0,116,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000711,1904,736,1298,0,0,196,585,784,763,1351,19,0,3,375,0,0,355,0,2592,1051,1058,342,0,0,0
ENSMUSG00000000724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000732,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000738,2887,0,10110,2273,0,3543,1947,0,415,7271,0,18,0,91,1062,2103,945,0,0,0,5040,0,0,19343,0
ENSMUSG00000000739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000740,35605,50593,38448,27947,40061,25719,27619,22258,34822,22579,24313,27630,12816,17300,21841,27771,20222,21399,16713,13266,21568,39054,27130,15823,26180
ENSMUSG00000000743,17297,4940,5138,0,6569,2864,9991,0,6194,3121,2490,5929,6492,4965,4251,3352,4245,8037,0,8198,20,5889,7191,5816,5291
ENSMUSG00000000751,3540,6893,0,3935,0,3771,1069,271,1868,990,2946,5417,374,1332,4696,0,1432,4448,0,0,1930,1034,0,0,15
ENSMUSG00000000753,0,0,0,0,0,0,0,0,0,0,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000759,0,3966,0,0,0,5058,0,38,3754,0,994,937,55,2155,4564,0,4123,0,0,0,922,3084,3709,9948,3003
ENSMUSG00000000766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000776,0,30,0,0,0,0,1457,0,149,174,0,0,147,240,0,1544,1,0,0,0,0,0,0,0,0
ENSMUSG00000000782,4401,4904,4989,4950,2256,4683,736,5813,4147,815,2617,1201,3194,2935,1648,453,5581,3721,560,5531,4758,4482,47,0,4429
ENSMUSG00000000787,6,1124,321,541,2734,2528,408,1133,2489,1768,1046,1,1141,265,1553,0,753,891,10,2986,597,781,1642,994,554
ENSMUSG00000000791,1195,0,5467,10430,9683,7052,5060,5388,22121,7647,3756,3317,9116,3726,3550,5127,3439,0,0,6531,4596,22699,14557,0,15518
ENSMUSG00000000792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000804,0,2,40,0,0,0,0,0,0,0,139,0,0,0,0,0,0,127,0,0,0,0,0,0,511
ENSMUSG00000000805,0,0,0,0,0,0,0,0,0,0,0,0,0,24449,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000811,0,0,0,0,4209,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,57,0,0
ENSMUSG00000000817,1743,5371,606,0,0,0,0,0,0,0,1894,1033,1349,510,0,1596,684,2376,0,2266,0,1480,1680,0,880
ENSMUSG00000000823,932,0,0,0,0,0,0,0,0,0,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000826,2318,4366,0,1,2783,1254,9,1365,2549,392,1919,995,1226,274,1789,2465,2849,1887,0,0,6703,0,5383,0,0
ENSMUSG00000000827,2735,4375,2769,362,0,1465,2988,1961,1952,123,87,3426,942,2456,1076,21,4686,4170,0,0,2255,2845,568,0,0
ENSMUSG00000000838,145,0,659,0,0,365,0,0,131,27,4,0,0,247,0,0,0,0,670,0,0,0,0,0,0
ENSMUSG00000000861,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000000869,460,191,0,759,520,0,446,423,1130,995,0,0,0,0,0,0,0,0,0,0,187,739,252,0,0
ENSMUSG00000000876,0,0,0,0,0,0,0,0,0,26,0,0,1017,0,0,0,0,0,0,0,0,85,79,0,0
ENSMUSG00000000881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000884,3886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000000902,0,0,0,0,0,1635,2002,1380,1759,3069,1985,517,2021,0,1097,0,1,0,0,2201,447,1620,0,92,1228
ENSMUSG00000000903,0,0,0,0,0,0,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000915,1145,455,619,11922,1021,3830,1163,479,345,253,0,0,2036,3056,3959,3042,274,0,81,899,6233,168,1920,4343,0
ENSMUSG00000000916,0,0,0,5839,0,0,1749,0,0,1889,1167,0,1557,0,2269,1279,0,0,0,0,343,0,0,0,0
ENSMUSG00000000934,0,0,0,0,5528,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1632,0,0
ENSMUSG00000000938,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000000942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000957,0,0,0,0,0,0,0,0,0,0,0,2242,0,0,0,0,1,0,0,0,671,0,0,0,0
ENSMUSG00000000958,0,0,0,0,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000959,204,0,0,0,0,0,0,2081,0,0,90,0,1174,0,2,0,0,0,0,0,3115,0,0,0,0
ENSMUSG00000000976,0,560,634,0,0,6514,573,0,754,0,628,0,0,0,0,556,2713,2142,0,0,1262,427,0,2830,0
ENSMUSG00000000982,0,0,0,0,0,0,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000983,1,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001016,0,3469,0,0,5039,1229,0,1153,1564,1351,1700,0,0,23,1331,838,18,0,0,5996,0,0,1648,0,3735
ENSMUSG00000001017,0,1076,913,0,2199,2429,2739,1566,2302,2780,1418,3513,1649,422,3386,1048,1671,3709,3350,1947,888,1041,0,3990,1588
ENSMUSG00000001018,985,0,0,0,1543,631,0,1566,494,575,377,0,7,450,0,303,0,0,0,0,842,0,1647,0,0
ENSMUSG00000001020,5582,3832,5587,7572,12126,16959,15798,17321,22347,24411,11297,11068,10609,8685,8467,21755,21456,25293,11302,18184,11407,17297,21538,11166,9689
ENSMUSG00000001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001025,1868,1955,5537,9537,9626,17389,13242,13978,23294,13972,8578,10681,8482,16680,4792,16582,13493,18196,19474,14964,15301,18777,20542,7074,20338
ENSMUSG00000001027,0,0,0,0,0,0,0,0,0,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001029,0,0,0,0,3540,1591,0,176,1712,3221,0,3154,1118,0,2044,1736,0,0,0,5321,0,2140,1061,3798,43
ENSMUSG00000001034,1357,0,0,0,0,0,0,0,4178,2037,0,0,0,1827,0,2656,0,0,0,0,0,0,0,0,0
ENSMUSG00000001036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001052,932,2501,0,4132,0,0,1385,0,4554,0,162,0,1909,21,0,0,3048,3840,0,0,707,0,195,0,0
ENSMUSG00000001053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4277,0,0,0,0,0,4234,9152,0
ENSMUSG00000001054,10063,7011,9757,0,0,7232,2244,6442,3663,3658,2701,0,1866,1214,0,0,8590,0,11011,12607,0,1297,5894,0,6066
ENSMUSG00000001056,3131,0,1405,0,3744,1835,474,3677,0,3288,810,2197,1104,2252,288,0,4450,2323,2659,5670,3,1397,1367,2218,0
ENSMUSG00000001062,0,0,2423,0,0,0,0,0,0,0,0,0,133,0,0,306,0,0,0,0,0,0,0,0,2722
ENSMUSG00000001065,4556,0,5288,1,0,0,0,3201,0,3648,0,5418,0,2955,2118,0,1,0,0,14791,2854,0,0,115,0
ENSMUSG00000001076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001082,4187,99,4745,0,0,0,1586,10326,0,5049,0,0,1434,353,2427,0,6971,0,0,0,6674,7634,7541,0,0
ENSMUSG00000001089,93,0,0,0,0,0,0,0,432,0,0,0,437,254,1103,0,0,0,0,0,0,0,3093,0,698
ENSMUSG00000001095,0,0,0,0,0,0,0,0,0,0,0,0,0,3274,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001098,3615,7812,4814,0,3622,2350,8582,2498,4435,942,634,407,1271,4026,2963,2593,1208,0,4314,6469,6377,9832,4643,0,2056
ENSMUSG00000001100,0,0,0,0,0,0,0,2686,0,0,0,1180,0,0,2012,1329,0,4006,0,0,0,4655,0,0,0
ENSMUSG00000001103,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001105,4,1420,0,721,1922,432,489,52,1162,1015,701,230,886,818,881,0,1212,17,0,0,245,0,0,0,1046
ENSMUSG00000001119,0,2416,0,0,0,0,0,0,0,0,3119,3354,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001120,0,5656,0,7,2264,16,0,0,0,203,0,0,1,0,0,0,0,2691,0,962,0,753,146,0,0
