,CD161int 1,CD161neg 2,CD161hi 1,CD161neg 1,CD161hiCD56pos 3,CD161hi 3,CD161hi 2,CD161int 3,CD161hiCD56pos 2,CD161neg 3,CD161hiCD56pos 1,CD161int 2
100287102,0,0,0,0,0,1,3,48,1,1,1,1
653635,452,170,592,532,1109,930,484,580,626,1137,994,382
102466751,0,0,1,0,0,0,2,0,0,0,0,0
100302278,0,0,0,0,0,0,0,2,0,0,0,0
645520,5,3,0,0,2,8,2,2,5,0,5,1
79501,3,0,3,1,5,3,1,4,2,9,8,5
729737,77,11,27,37,25,3,61,43,89,88,50,12
102725121,0,0,0,0,16,1,3,34,0,1,1,1
102723897,340,189,502,427,986,867,469,555,532,1104,986,397
102465909,0,0,1,0,0,0,2,0,0,0,0,0
729759,23,25,16,27,30,22,22,12,18,68,28,17
100132287,75,6,26,48,10,2,61,29,33,129,45,2
105378947,4,1,3,1,26,34,0,0,0,1,2,2
101928626,1,4,0,0,1,1,1,0,3,3,2,2
102465432,3757,1879,4247,4135,7103,7019,5037,3914,6289,8550,5958,2773
81399,7,11,0,21,6,4,7,0,11,19,2,2
100133331,67,9,26,47,10,4,58,26,33,130,41,2
100288069,702,241,506,596,293,744,641,399,804,605,340,547
400728,185,40,75,0,112,0,252,60,219,401,267,237
79854,169,30,117,129,37,113,154,30,259,94,89,88
643837,1011,565,1041,695,652,1027,637,875,72,1710,554,374
284593,58,58,56,111,81,123,52,58,85,108,32,44
100130417,0,0,0,3,0,0,0,0,0,0,0,0
148398,0,0,0,0,0,1,0,0,0,0,0,0
26155,109,11,0,55,0,17,22,28,68,29,0,0
339451,31,0,3,13,0,5,52,60,0,10,0,23
84069,1,0,1,1,2,0,0,0,0,0,0,0
84808,2,0,0,0,11,0,1,0,0,0,12,0
57801,637,716,249,1126,274,749,708,174,616,505,505,475
9636,9147,7486,8208,11482,11995,14616,7784,8686,8358,22763,9785,7010
375790,0,0,0,0,0,0,1,0,0,0,4,10
105369174,0,0,0,23,17,98,2,20,29,41,36,0
105378948,13,5,1,0,53,27,37,15,4,25,4,14
401934,0,0,0,0,0,0,0,0,0,0,0,0
54991,4,0,84,12,0,135,139,0,26,3,67,36
254099,0,0,0,0,0,0,0,0,0,0,0,0
406984,0,0,0,0,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0,0,0,0,0
554210,0,0,0,0,0,0,0,0,0,0,0,0
254173,0,0,0,0,0,0,58,0,15,1,3,0
8784,1561,91,1129,656,620,623,397,532,346,816,548,575
7293,1690,829,1158,1975,945,2659,1275,2041,424,2967,1155,831
51150,172,79,156,209,517,304,469,60,147,230,407,122
126792,310,330,74,399,61,253,195,29,290,286,285,51
388581,71,0,0,65,0,0,0,0,0,0,0,0
118424,288,152,177,603,190,230,407,382,313,261,149,18
6339,0,9,3,0,0,37,2,6,20,0,13,0
116983,6,0,2,102,22,103,50,2,53,133,40,28
102465434,0,0,0,0,0,0,0,0,0,0,0,0
126789,267,1,92,85,96,215,272,0,0,39,126,0
54973,37,54,255,283,157,195,187,124,9,115,43,30
102465435,0,0,0,0,0,0,0,0,0,0,0,0
80772,0,109,0,18,94,1,10,9,2,55,6,24
83756,0,0,0,0,0,0,0,0,0,0,0,1
1855,5,1,0,37,59,0,21,0,42,106,28,75
102466740,0,0,0,0,0,0,0,0,0,0,0,0
54587,1,1,0,0,0,1,8,0,0,0,0,0
54998,1735,903,721,2181,1850,1734,1436,1376,2115,3445,1326,1485
81669,1441,813,1801,2416,807,951,2379,1638,2403,4205,1445,810
148413,0,0,27,13,0,15,98,28,65,171,7,1
55052,2506,2226,1480,2816,3355,3526,1571,2933,2937,4660,2619,1482
441869,0,0,0,0,0,0,0,0,0,0,0,1
643965,0,0,0,0,0,0,0,0,0,0,0,0
102724312,0,0,0,0,0,0,0,0,0,0,0,0
64856,0,0,0,0,0,0,0,0,0,0,0,0
219293,4,0,30,51,6,69,18,3,21,36,4,6
83858,38,8,96,24,92,40,10,96,98,260,99,116
55210,23,8,42,55,80,17,17,63,60,70,19,10
339453,0,0,0,0,0,0,0,0,0,0,3,0
29101,1521,1742,745,2705,2132,2910,2493,2985,2119,4551,1762,1989
643988,0,0,0,0,0,2,0,1,0,0,0,21
142678,35,49,164,35,149,242,218,163,302,339,307,77
8510,0,1,0,0,0,0,1,0,0,0,0,0
984,1891,3054,1000,2229,1130,2756,3637,1265,3220,2916,1518,3165
728661,258,305,405,267,123,345,1179,344,1182,399,561,865
8511,0,0,0,0,0,0,0,0,0,0,0,0
728642,2651,2960,1250,2146,1155,2454,3234,1160,2910,2425,1991,2664
9906,164,259,342,234,126,309,1185,300,1101,384,539,796
65220,57,13,117,48,45,153,108,36,104,53,99,55
2782,758,288,1106,1343,1136,904,1537,963,851,3173,521,928
105378949,0,0,1,0,2,0,0,0,14,12,0,0
163688,0,0,3,0,0,0,0,0,3,0,2,0
339456,0,58,0,0,6,0,0,0,0,0,0,0
85452,0,0,0,3,0,0,0,0,0,0,0,3
2563,0,0,0,0,0,0,0,0,0,0,0,0
5590,3,6,82,1,0,46,11,5,102,0,21,0
100506504,0,0,0,0,0,0,0,0,0,0,0,0
199990,829,652,405,974,1273,1281,664,1062,1142,1605,872,683
105378592,1,0,0,0,0,0,0,0,0,0,0,9
6497,107,71,353,311,39,383,718,96,279,434,510,279
105378594,0,0,11,0,0,0,0,0,0,0,0,88
79906,1,14,6,1,0,26,17,1,4,48,20,1
100129534,13,6,9,16,11,14,7,13,11,18,5,30
11079,2272,462,2116,1443,2571,1974,2034,1982,2059,4988,1256,1528
5192,0,6,6,0,0,0,0,21,0,1,13,0
9651,51,0,47,0,22,64,66,26,80,12,13,146
55229,115,0,11,105,4,121,48,10,37,529,38,21
388585,0,0,0,0,0,0,0,0,102,0,0,0
115110,34,6,50,22,96,219,47,46,11,54,176,15
8764,291,144,422,712,248,347,343,456,427,511,642,251
100996583,110,0,0,0,76,0,0,58,0,149,0,0
127281,6,0,0,40,0,44,65,70,0,44,2,7
79258,4,0,5,0,24,0,20,2,89,0,5,1
100287898,1,0,0,0,0,0,0,0,0,0,1,0
140625,0,1,0,0,0,0,0,0,0,0,0,0
440556,0,0,0,0,0,0,0,0,0,2,0,0
63976,0,0,0,0,3,1,0,0,0,0,1,0
100422968,0,0,0,0,0,0,0,0,0,0,0,0
27237,2,0,1,0,0,0,0,0,0,0,1,1
1953,81,73,119,47,105,118,252,74,12,458,214,185
693135,0,0,0,0,0,0,0,0,0,0,0,0
127262,10,4,128,70,0,306,233,93,761,363,79,77
49856,0,47,212,8,280,111,129,347,212,294,77,49
7161,0,0,0,0,0,0,3,0,0,19,0,0
57212,3,1,0,22,2,0,56,30,1,4,2,7
148870,0,0,0,0,0,0,0,0,0,0,0,4
388588,55,0,23,19,29,0,23,14,0,24,0,0
57470,225,42,95,7,130,212,65,124,115,194,132,50
9731,130,221,270,180,95,544,170,642,548,294,103,11
1677,8,4,0,12,1,0,61,45,63,11,1,8
339448,285,164,448,698,769,778,652,674,365,1013,122,80
100133612,0,0,0,0,0,0,0,0,0,0,0,1
728716,0,0,1,1,0,0,0,0,0,0,1,0
284661,1,1,0,0,0,1,3,0,0,0,0,0
55966,10,0,1,0,0,5,2,0,4,8,2,9
100616489,0,0,0,0,0,0,0,0,0,0,0,0
100616421,0,0,0,0,0,0,0,0,0,0,0,0
261734,0,16,83,137,1,5,108,0,0,133,51,49
8514,112,294,491,228,364,304,385,109,559,727,119,251
26038,0,0,0,3,0,1,2,0,0,0,0,0
6146,4139,2482,2689,4489,3378,3923,4047,3111,3864,5781,3299,2816
102724450,0,0,0,2,0,0,1,0,0,73,7,0
388591,18,107,116,36,27,6,23,16,2,276,111,10
23463,2,29,55,0,43,1,171,356,425,285,117,1
148645,8,1,0,8,0,0,1,0,0,7,1,0
390992,0,0,0,0,0,0,0,0,0,0,0,0
387509,0,1,1,0,0,0,0,0,0,1,0,0
11332,0,129,181,49,82,318,73,291,3,267,154,0
54626,2,0,1,0,0,2,0,1,2,4,0,1
83715,1,2,4,18,30,74,21,5,67,59,0,0
100422975,0,0,0,0,0,0,0,0,0,0,0,0
8718,688,365,736,694,830,1139,1029,399,605,711,503,358
57449,1,0,0,0,0,1,17,36,0,1,2,0
79707,252,253,137,366,206,198,169,202,694,855,296,97
80835,4,0,0,0,3,0,6,4,0,3,0,3
3104,64,0,7,16,18,23,59,105,33,4,25,65
9903,185,569,526,285,304,453,408,480,833,564,280,219
148479,2,14,38,56,45,246,33,32,68,112,8,86
90326,0,0,88,183,0,45,581,96,198,288,85,71
55735,151,59,70,338,181,323,139,30,550,0,141,177
100505887,0,0,0,0,0,0,0,0,0,0,0,0
23261,5585,2563,2505,3923,4564,5600,3231,3749,3917,7193,3138,4623
9341,448,324,248,290,371,104,146,356,1053,583,113,622
8863,128,0,186,74,41,37,190,46,298,97,220,294
10911,75,265,1,478,0,4,0,1,0,778,1,0
3604,869,786,733,2299,322,1506,653,1014,836,2443,1453,380
11315,15051,4275,4099,8116,10664,12449,5213,8176,7842,16171,7754,5661
54206,557,693,523,682,406,985,1000,605,1737,1894,667,1201
102724539,0,0,0,0,0,0,0,0,0,0,0,0
50651,0,6,0,0,2,0,0,0,10,195,1,0
473,963,337,422,909,442,225,463,319,389,577,239,291
102724552,0,0,0,0,2,2,5,3,0,1,0,1
2023,1547,1703,4291,3292,3424,3181,3022,4009,3973,6521,3035,2063
102465436,0,0,0,0,0,0,0,0,0,0,0,0
100505975,52,118,155,144,148,58,66,81,132,201,429,69
765,40,3,0,31,0,0,23,0,0,82,0,1
155184,0,0,0,3,2,1,0,3,1,2,0,1
6518,0,0,1,0,0,0,0,0,0,0,0,1
80045,0,0,0,0,0,43,0,0,0,0,0,0
407040,0,0,0,0,0,0,0,0,0,0,0,0
9563,2,2,5,0,29,37,85,119,136,6,4,54
80176,143,1,80,0,190,1,134,155,0,78,172,1
100506022,0,0,0,4,1,0,20,0,0,3,2,2
84275,244,460,520,965,883,1082,901,625,1743,1728,111,795
199953,0,0,0,1,0,2,21,0,18,45,0,0
5293,219,89,210,478,212,67,643,213,337,196,251,193
644997,0,10,32,135,0,0,0,0,0,0,66,0
101929074,2,0,0,0,33,1,30,0,0,0,0,0
22883,226,189,80,154,189,202,276,92,289,316,23,121
56998,64,3,111,42,69,48,50,108,94,100,13,0
84328,1313,725,388,1189,857,1107,601,358,1005,579,1227,687
64802,95,30,66,165,34,62,119,60,27,110,95,154
100847055,0,0,0,0,0,0,0,0,0,0,0,0
105376719,0,0,0,0,1,0,0,0,0,0,0,0
116362,0,0,0,0,0,1,0,0,0,0,1,1
10277,301,338,174,179,242,293,277,78,92,360,88,57
23095,135,414,191,279,712,633,486,150,197,799,168,100
100422970,1,0,0,0,0,0,1,0,0,4,0,0
5226,6,94,57,797,121,212,499,293,576,188,7,366
100526739,0,0,0,0,0,0,0,0,0,0,0,0
378708,64,49,74,69,35,64,92,31,93,3,0,21
1325,49,0,10,0,0,0,0,7,0,0,0,0
1676,179,159,105,283,239,6,51,74,247,753,484,4
5195,163,71,71,47,153,45,111,104,79,213,44,47
54897,61,0,35,8,18,255,101,10,100,10,127,107
148345,0,0,0,0,2,0,0,0,0,8,2,1
23435,2180,1782,1730,3109,1342,3315,2342,1226,2443,3266,1050,2037
10747,25,27,102,38,140,149,50,57,60,128,16,27
6723,233,475,565,869,1034,697,882,670,826,1969,385,445
5394,272,554,739,798,268,514,695,446,1205,1582,741,535
2475,226,84,64,320,6,105,228,149,355,21,7,439
100873935,0,0,3,0,0,0,0,0,0,0,0,0
10218,0,0,0,0,4,1,15,0,1,1,15,0
29914,146,233,270,446,495,7,307,459,20,1310,451,327
57540,11,1,0,0,0,11,0,0,0,0,0,0
101929181,0,0,1,0,2,10,1,0,0,2,2,1
26232,0,38,0,0,0,0,0,0,0,0,0,0
93611,159,115,351,74,290,48,222,392,242,35,106,164
26270,13,155,25,7,69,36,9,7,452,433,0,13
10459,422,179,536,344,1558,141,420,694,1085,1232,303,116
374946,0,4,1,1,0,1,0,2,162,0,1,1
57085,272,251,453,179,335,0,419,0,385,836,752,269
284498,2,0,0,0,0,0,1,0,0,35,1,1
102724659,1,0,0,0,0,0,0,0,0,0,0,0
4524,3,0,103,0,77,0,168,63,4,2,54,62
1185,60,1,74,152,1,1,0,12,196,2,23,30
100379251,0,0,0,0,0,0,0,2,0,0,0,0
4878,0,0,0,0,0,0,0,19,0,0,0,0
4879,0,0,1,0,0,0,0,0,0,0,1,0
26829,97,36,75,206,284,352,238,100,205,187,660,77
90231,48,2,13,16,2,2,27,6,1,39,0,1
5351,0,1,1,0,0,77,0,0,0,0,0,7
9927,5,59,312,261,108,228,219,319,150,186,119,142
60672,1,124,95,89,31,148,344,44,418,129,0,0
102466982,0,0,0,0,0,0,0,0,0,0,0,0
943,137,0,1,33,1,0,0,42,3,0,1,0
102465836,0,0,0,0,0,0,0,0,0,0,0,0
7133,908,258,936,1069,463,598,962,614,322,1230,416,496
100616438,0,0,0,0,0,0,0,0,0,0,0,0
55187,812,1005,1242,1151,693,1039,1408,598,1822,1655,692,1163
677885,0,24,0,3,13,2,27,5,0,0,0,0
9249,367,381,1201,705,1516,2096,1394,698,865,2069,433,767
102466722,0,0,0,0,12,1,0,0,0,0,0,0
343066,0,3,0,0,1,0,10,1,0,0,2,2
126767,0,0,1,0,0,0,0,0,2,0,0,0
93190,2,0,0,0,0,0,0,0,0,0,0,1
390999,2,0,0,0,0,0,0,0,0,0,0,0
65121,5,0,1,1,4,2,11,1,2,0,3,3
440560,2,1,0,2,2,6,0,2,0,2,5,2
343069,38,46,72,81,84,64,97,92,92,164,46,46
65122,2,1,1,0,0,1,3,2,0,0,3,3
400735,6,3,0,2,2,1,0,2,1,2,3,0
343071,2,0,1,1,2,2,0,0,0,0,0,2
441871,0,0,0,0,0,0,0,1,0,0,0,0
440561,3,0,0,0,0,3,0,2,0,0,1,1
653606,0,0,0,0,0,0,0,0,0,0,0,0
102724742,3,0,0,0,0,2,1,0,0,1,3,1
101929983,4,1,0,0,0,0,0,2,0,0,0,1
649330,3,3,6,2,1,5,4,6,1,9,2,2
441873,5,2,0,4,1,4,0,2,0,2,5,1
649324,0,0,1,0,2,1,2,2,1,1,0,0
440563,11,9,24,19,22,15,21,25,25,33,13,16
645354,0,0,1,0,2,1,2,2,1,1,0,0
645359,5,2,0,4,1,4,0,2,0,2,5,1
101060301,3,3,4,2,2,5,4,6,1,8,2,2
343070,4,1,0,0,0,0,0,2,0,0,0,1
400736,5,0,1,2,0,2,7,0,0,5,6,5
391003,5,1,0,4,2,4,0,0,0,1,4,1
343068,3,0,0,0,3,0,0,2,0,0,1,1
391002,0,0,0,0,0,0,0,0,0,0,0,0
645382,2,1,1,1,2,0,0,0,0,0,0,2
653619,3,0,0,4,2,5,0,2,1,2,3,2
729528,4,1,1,1,2,2,7,3,0,7,9,2
645414,4,5,1,2,3,2,0,0,1,1,4,4
391004,1,0,0,0,0,1,0,1,0,0,3,0
645425,0,1,0,0,0,1,0,0,0,0,0,0
126755,0,1,0,0,0,0,0,0,2,3,2,0
10630,2,1,1,0,2,2,0,0,0,0,0,2
7799,4608,4385,2334,4160,2384,2960,4011,2478,4531,6476,2770,2704
23254,3,0,0,0,1,3,2,1,2,0,0,3
200197,0,0,0,0,1,1,0,0,0,0,0,0
55092,0,0,0,0,7,0,91,1,65,0,1,0
727684,0,0,0,0,0,0,0,0,0,0,0,0
114827,1,3,0,3,10,9,4,0,3,8,3,0
101927417,1,0,0,0,0,0,0,0,1,3,1,0
79180,755,503,1654,1156,2066,1708,1432,1705,2576,2831,2239,1093
11330,55,1,0,1,0,57,4,0,2,35,106,64
63036,0,1,0,0,0,0,13,0,0,0,0,0
51032,0,1,0,0,0,0,0,0,0,0,0,0
842,289,84,0,367,217,16,181,160,132,106,1,180
23341,72,41,0,152,206,234,214,101,823,413,8,83
79814,7,1,5,88,3,3,5,6,8,6,8,8
84301,179,0,116,88,66,1,0,4,233,0,0,124
6248,0,0,0,0,76,0,76,0,0,229,87,0
23207,134,4,202,127,62,85,176,82,1,202,68,15
284723,1,1,0,0,0,0,2,3,2,1,3,0
388595,1,0,0,0,0,0,0,0,0,0,0,0
54751,5,3,6,4,16,4,9,4,15,5,13,8
440567,1969,1347,829,1697,1381,2287,1278,1221,2312,2848,1269,1560
729614,422,475,63,622,299,521,545,348,471,481,424,462
23013,796,436,425,371,381,282,1199,281,1203,891,374,1116
7709,85,18,20,3,40,61,183,14,85,163,105,46
101928566,0,0,0,2,0,0,0,0,0,0,0,0
149563,0,0,0,0,0,0,0,0,0,0,0,0
27129,0,0,0,0,0,0,0,0,0,0,0,0
1187,0,0,0,0,2,0,0,0,0,0,0,0
1188,0,0,0,0,0,0,0,0,0,0,0,0
348487,0,1,0,0,0,0,0,0,0,0,4,0
1969,0,0,0,0,0,0,0,0,0,0,0,0
128272,283,0,0,0,3,1,28,0,0,173,81,0
101927546,0,0,0,0,1,0,0,0,0,0,0,0
79363,1,0,0,0,25,0,21,12,137,0,0,23
54455,198,8,328,438,156,287,306,116,70,155,4,169
26099,714,593,967,1090,1414,1282,1111,1385,1042,2695,584,855
374955,2,0,0,0,0,0,0,1,0,2,1,0
55707,733,730,521,1244,692,531,1052,1032,1387,1452,495,707
114819,4,0,0,94,1,2,0,11,4,4,4,0
26871,1019,683,1110,1553,2331,1585,2749,653,4334,1889,3921,1433
100126512,5,21,0,1,1,9,4,0,31,0,3,20
100126517,0,0,0,0,0,0,0,0,0,0,0,0
102724970,0,0,0,0,0,0,0,0,0,0,0,0
100133301,2,0,0,1,0,0,0,0,5,2,0,4
7195,0,0,2,0,0,0,0,0,0,0,0,5
55672,88,75,129,188,82,132,294,292,379,274,137,277
84809,36,22,34,5,12,305,173,35,183,94,114,287
11209,1,0,37,27,1,25,59,14,2,2,0,23
26869,1007,676,1047,1464,2030,1422,2611,616,3951,1745,3640,1364
729574,2,2,0,1,3,1,0,0,0,0,0,0
100126533,1,0,4,0,1,1,4,0,0,0,1,2
284729,0,0,0,1,0,0,0,0,0,0,0,0
100189045,0,0,0,0,0,6,0,0,0,0,0,4
102723383,3,3,0,1,4,1,0,0,0,0,0,1
6060,1007,676,1047,1464,2030,1422,2611,616,3951,1745,3639,1364
11223,3,5,44,24,5,19,19,30,0,3,5,32
100500876,0,0,0,0,0,0,0,1,1,0,0,0
100189298,0,0,2,0,0,0,0,0,0,0,0,5
7193,1,0,0,0,0,0,0,0,0,0,0,0
791226,0,0,1,0,6,0,12,1,0,0,1,0
9696,19,62,16,100,25,57,47,12,49,7,4,22
26870,1007,669,1009,1450,2020,1394,2521,611,3787,1725,3528,1331
4237,0,0,0,0,0,0,0,0,0,0,0,0
23400,13,0,9,34,19,89,35,0,96,106,50,35
6390,6633,2147,4579,5428,5570,11414,2919,5374,6134,11664,4369,4324
11240,0,1,1,0,0,2,0,1,2,0,0,2
29943,2,0,0,0,0,0,0,0,0,0,1,0
51702,0,0,0,0,18,2,1,0,2,0,1,1
100616188,0,0,0,0,0,0,0,0,0,0,0,0
23569,2,1,0,128,0,176,0,60,0,34,2,1
353238,2,1,0,1,0,0,0,0,0,0,0,0
55920,42,207,52,168,107,121,135,156,46,114,55,310
55160,0,0,0,0,1,0,0,0,0,0,0,0
81569,0,0,0,0,0,2,0,0,0,2,0,1
101927876,1,0,0,0,0,0,2,0,0,2,1,2
84966,5,0,0,4,1,0,0,0,0,0,0,0
127707,0,1,23,5,2,3,1,2,2,0,0,2
5081,0,0,0,0,0,0,1,0,1,0,0,2
80834,1,0,0,0,1,0,0,0,0,2,0,0
8659,34,0,0,0,0,0,0,1,2,0,0,3
100616120,0,0,0,0,0,0,0,0,0,0,0,0
100302276,0,0,0,0,0,0,0,0,0,0,0,0
126917,347,170,433,131,522,778,549,114,655,431,652,471
23352,1183,497,1267,1491,562,779,1137,1126,1647,1568,380,854
23065,351,246,330,273,148,111,503,181,758,569,62,199
51154,147,65,230,533,178,258,305,366,749,541,182,16
246181,4,3,5,38,6,31,7,6,0,33,0,11
22977,3,0,34,20,2,22,74,5,0,161,0,9
100506730,0,72,5,0,0,0,97,1,1,0,0,1
8574,94,0,238,421,177,286,36,99,0,4,1,153
54896,0,0,5,8,0,2,58,2,1,0,2,0
832,3116,2245,3732,3636,4243,5063,2886,4553,3557,9197,2541,2453
100532736,0,0,0,0,0,0,0,0,0,0,0,0
440574,15723,6690,5872,11947,13112,17705,5921,7904,10709,16252,10341,8610
644068,2086,1772,1634,3161,2553,3214,2711,2499,3118,5824,1942,1933
4681,0,6,2,0,5,5,16,3,7,8,0,5
3362,1,0,0,0,0,0,0,0,0,0,0,0
255104,231,84,3,328,70,72,168,2,149,127,110,54
54546,0,0,0,0,0,0,0,0,0,0,0,0
23252,760,446,188,522,748,39,583,659,252,629,226,197
30814,0,0,0,0,0,0,0,0,0,0,1,0
5320,0,1,0,1,0,1,0,0,0,0,0,0
5322,3,0,0,1,0,5,1,0,0,0,0,0
26279,0,0,0,0,0,0,0,0,0,2,0,1
64600,0,0,0,0,0,0,0,0,0,0,0,0
391013,1,0,0,0,0,2,0,0,0,0,0,0
127733,0,5,0,0,0,3,0,0,0,0,0,0
101928017,70,50,0,82,111,0,0,0,0,0,0,0
127731,22,16,80,0,28,5,45,2,34,0,46,71
339505,0,0,0,1,1,3,0,2,0,1,4,0
55450,103,0,130,142,168,0,230,65,339,42,291,60
79594,63,57,226,148,72,183,18,145,102,361,399,47
163933,0,0,0,0,1,0,0,0,0,0,0,0
978,0,0,0,0,0,0,0,0,0,0,1,0
65018,117,0,0,52,37,74,128,28,0,0,0,0
102464833,0,0,0,0,0,0,0,0,0,0,0,0
100861548,1,7,2,0,0,34,20,38,0,1,1,0
1650,315,449,747,738,884,794,1382,1365,1286,1847,276,382
57576,9,90,0,1,1,2,0,0,2,0,1,0
400745,0,0,0,0,0,0,0,0,0,0,0,0
50809,4978,2575,2744,4602,2927,5905,4634,2579,3802,5255,3885,3587
8672,335,14,205,925,250,645,370,743,124,207,319,203
100302155,0,0,0,0,0,0,16,0,0,0,0,0
1889,55,53,128,192,107,69,110,33,145,19,218,14
100506801,64,2,68,29,26,19,11,0,0,2,68,118
84224,16,58,45,19,2,98,54,22,176,41,40,29
249,0,0,0,0,0,0,0,0,0,0,1,0
5909,0,0,2,0,9,0,0,0,0,0,0,0
84196,1958,735,930,2016,1126,1873,857,1738,2163,1722,879,842
401944,0,0,1,0,0,0,0,0,0,0,0,0
3339,2,0,0,1,1,8,4,3,0,0,0,1
23436,0,0,0,2,0,2,0,0,0,0,0,1
10136,0,0,0,0,0,0,0,0,0,0,0,1
101928043,85,0,0,6,77,0,78,0,26,37,0,22
29092,317,355,88,354,204,294,135,154,724,46,117,380
998,14259,8216,13276,15010,18558,26544,11944,19368,16460,36620,12001,9290
54361,1,1,0,0,0,0,0,1,2,0,1,0
100616433,0,0,0,0,0,0,0,0,0,0,0,0
9923,88,549,216,702,211,774,938,414,635,471,786,657
2046,2,0,0,0,0,0,0,0,0,1,0,0
102466615,0,0,0,0,0,0,0,0,0,0,0,0
712,0,0,0,0,0,0,0,0,0,0,0,0
714,0,0,0,0,0,0,0,0,0,2,0,0
713,0,0,78,3,0,0,0,0,158,0,0,90
2048,0,0,1,0,4,5,0,0,0,1,0,3
100616391,0,0,0,0,0,0,0,0,0,0,0,0
100422914,0,0,0,0,0,0,0,0,0,0,0,0
646262,1,0,0,0,0,1,0,0,0,0,0,0
729059,4,30,1,0,0,0,0,2,3,0,0,0
23028,354,311,217,338,375,393,810,125,346,791,257,118
100422866,0,0,0,0,0,0,0,0,0,0,0,0
100616177,2,0,0,0,0,0,2,1,1,0,0,0
7798,1737,1192,1411,1456,1777,1784,2434,1188,3327,2650,1893,1607
3352,1,0,0,0,0,0,0,0,0,1,1,3
100996511,12,0,0,1,0,64,0,0,88,0,4,16
10236,3315,2423,3421,3180,1861,3994,3528,3479,3997,4038,2587,3337
80818,102,3,50,82,127,245,133,0,16,1,96,2
148898,4,0,0,1,0,9,4,0,0,1,1,44
6920,0,70,0,99,0,0,7,97,7,31,2,49
55616,0,1,0,0,0,0,0,0,0,0,1,2
1870,6,0,1,2,0,0,1,2,2,1,1,2
101928163,0,0,0,0,1,0,0,0,0,0,0,0
3399,1913,3176,733,3062,651,1218,1883,1962,1146,2759,508,2051
259283,300,131,14,428,0,139,0,417,0,289,0,219
6135,13758,8619,9880,14884,11819,15577,12794,12943,12826,26876,12425,9392
6924,597,197,625,211,477,688,572,555,1166,996,943,946
100506963,92,39,13,96,64,17,29,11,16,13,28,13
57095,571,530,772,869,660,1742,1348,2002,1843,1990,605,988
11313,40,102,166,215,173,134,221,311,206,193,86,132
2582,0,40,1,1,53,4,202,50,108,253,48,14
3155,321,440,162,53,186,356,496,207,502,321,32,23
2517,195,30,116,120,62,0,306,178,193,71,0,0
1269,5,1,1,0,2,2,5,3,4,4,4,1
100616492,0,0,0,0,0,0,0,0,0,0,0,0
55629,3629,2426,2443,4651,2034,3131,3778,3799,3933,6094,4782,2635
10772,11314,8273,6988,9622,9461,15204,9349,8179,13272,17695,8506,9450
127294,1,3,0,0,0,1,3,0,1,0,0,0
58985,0,0,1,0,0,0,0,0,0,0,1,0
163702,20,0,1,52,2,81,7,3,1,0,0,0
284632,0,0,0,0,0,0,1,0,0,0,0,0
57822,0,0,0,0,1,1,0,0,0,0,3,2
90529,43,6,48,112,4,4,38,46,251,267,177,1
57185,177,158,164,459,30,91,106,398,388,636,145,263
100750325,23,0,28,62,0,80,103,0,0,19,0,44
11123,1127,814,1173,2092,1239,2203,1954,1596,2457,3642,1703,1779
100506985,197,73,299,324,10,543,160,180,10,37,218,148
400746,7,3,8,1,1,0,0,7,5,87,5,0
10250,20614,14188,8799,16680,11827,22078,15785,11015,16532,26354,14128,18647
25932,16,45,75,37,273,0,74,64,353,25,217,5
864,1749,1247,2781,1897,4153,2959,5104,1942,5947,2844,5250,1947
102465437,0,0,0,0,0,0,0,0,0,0,0,0
100616365,0,0,0,0,0,0,0,0,13,0,0,0
25949,14237,5771,5418,9040,10310,15474,6012,11749,9344,17646,8049,7667
57035,5336,5922,5266,5910,4919,6425,9004,5537,12579,7640,5076,7713
6007,84,57,149,125,49,15,58,224,68,59,0,25
23585,5718,3587,3583,5213,7362,13047,4062,5905,6016,10892,5889,3773
6006,44,57,26,33,1,0,30,76,41,27,0,18
55219,867,894,420,744,445,815,1249,279,332,1789,547,868
26119,84,162,186,576,10,181,308,114,55,337,117,123
57134,343,92,12,151,87,2,196,311,0,424,2,127
57190,28,279,64,187,143,148,79,55,1,99,18,7
56181,36,0,136,192,151,270,439,196,170,103,122,88
646471,18,1,2,30,3,34,5,1,1,2,1,0
79000,1,4,3,4,6,0,0,0,3,2,1,0
164091,33,2,0,0,13,7,1,9,0,53,30,1
3925,5080,7824,3725,6101,7373,9193,7597,7044,8665,14915,2941,7953
100500808,0,1,0,0,0,0,0,0,1,0,0,0
5051,138,94,46,0,1,179,53,29,236,12,8,33
2134,0,0,1,0,0,0,0,0,0,0,0,0
7780,0,0,1,0,0,0,4,0,0,0,3,1
105376910,0,0,1,0,0,0,0,0,0,0,0,0
84676,0,1,0,0,0,0,0,0,0,0,0,0
149420,257,308,361,82,54,0,139,570,177,965,352,7
79927,0,0,0,0,0,0,0,0,0,0,1,0
105376887,0,6,0,0,0,0,0,0,1,0,0,0
51042,895,613,293,1030,828,1325,569,478,1205,2328,699,858
10256,0,1,0,24,0,0,0,0,0,0,0,0
378807,2,0,0,0,0,3,0,0,0,2,0,1
101928303,0,1,0,1,1,0,3,2,1,1,4,0
64793,57,1,63,157,9,358,52,62,194,133,13,367
83442,40905,22672,42290,33883,87036,94430,31885,46668,51735,77562,63969,25993
